iter	Logloss
0	0.6902395743
1	0.6864116586
2	0.6830985299
3	0.6798377734
4	0.6765951803
5	0.6728664543
6	0.670084862
7	0.6674020469
8	0.6628250884
9	0.6597142591
10	0.6564355263
11	0.6533137035
12	0.6501339232
13	0.6465426425
14	0.6429996436
15	0.6397885578
16	0.6373120363
17	0.6338128981
18	0.6310468298
19	0.6279583107
20	0.6254641037
21	0.6228904925
22	0.6202759759
23	0.6172445474
24	0.614450221
25	0.6111363893
26	0.608535006
27	0.605478071
28	0.6020727377
29	0.5993262331
30	0.5957377271
31	0.5931373566
32	0.5904448455
33	0.5871824095
34	0.5843639397
35	0.5811100251
36	0.5782052838
37	0.5762787465
38	0.5743597276
39	0.5710939561
40	0.5689864151
41	0.5662643184
42	0.5632396791
43	0.5602294266
44	0.5580223974
45	0.5553005905
46	0.5524066447
47	0.550071198
48	0.5478330749
49	0.5456819078
50	0.5432917557
51	0.5409395225
52	0.5384367425
53	0.5365982112
54	0.5342809032
55	0.5313498055
56	0.5295074085
57	0.5270073402
58	0.5249790878
59	0.5229119207
60	0.5213395821
61	0.5189438837
62	0.5165081694
63	0.5143020478
64	0.5121116548
65	0.5100844014
66	0.5076877098
67	0.5053609536
68	0.5031777584
69	0.5013300422
70	0.4994787494
71	0.4975815237
72	0.4956250363
73	0.4938417928
74	0.4916741914
75	0.4898200982
76	0.4872444203
77	0.4849104486
78	0.4826914484
79	0.481299785
80	0.4795706789
81	0.477082304
82	0.474934632
83	0.4733347052
84	0.4716127343
85	0.4699447384
86	0.4675922515
87	0.4654372987
88	0.4634297617
89	0.4612118414
90	0.4591875739
91	0.4575450173
92	0.4554500376
93	0.453644218
94	0.4513590472
95	0.449939462
96	0.448314486
97	0.4466662121
98	0.4445243392
99	0.4425498941
100	0.4411175442
101	0.4393181899
102	0.4381882782
103	0.4368788118
104	0.4348863843
105	0.4328258134
106	0.4305713571
107	0.4289346411
108	0.4275571266
109	0.4264536085
110	0.4244241062
111	0.4231387356
112	0.4216566913
113	0.4207580901
114	0.4193394709
115	0.4180808326
116	0.4166606586
117	0.4153241415
118	0.4139046679
119	0.4123747632
120	0.4107245844
121	0.4094370184
122	0.4075950891
123	0.4054390032
124	0.4041517065
125	0.4028373623
126	0.4014671996
127	0.4002405607
128	0.3989085064
129	0.3976835145
130	0.3966992738
131	0.3954249274
132	0.3932338619
133	0.3917859652
134	0.3900994886
135	0.3890529631
136	0.3874781508
137	0.3859595101
138	0.3846747865
139	0.3831325564
140	0.3817413468
141	0.3805411393
142	0.379606543
143	0.3780881973
144	0.3771553624
145	0.3757016675
146	0.3744671821
147	0.3728702629
148	0.3713431061
149	0.3696584244
150	0.3682983647
151	0.3671607177
152	0.3657341764
153	0.3643367186
154	0.3629103198
155	0.361624631
156	0.360286981
157	0.3590715266
158	0.3582386604
159	0.3575271467
160	0.3557334391
161	0.3544533105
162	0.3534094098
163	0.3522217312
164	0.3511719951
165	0.3498676209
166	0.348353365
167	0.3466544755
168	0.3454685153
169	0.3444835954
170	0.3430913725
171	0.3422722741
172	0.3405397729
173	0.3394586048
174	0.3380485935
175	0.3370050507
176	0.3357317078
177	0.3345620052
178	0.3335731369
179	0.332368998
180	0.3314910353
181	0.3306579677
182	0.3297877198
183	0.328701186
184	0.3274555326
185	0.3263476814
186	0.3253878684
187	0.3242701591
188	0.3234802748
189	0.3223721774
190	0.3214944896
191	0.320371969
192	0.3192935514
193	0.3181384576
194	0.3172250245
195	0.3161632098
196	0.3151898065
197	0.314552438
198	0.3138861061
199	0.3129043431
200	0.312028456
201	0.3109110435
202	0.3101086723
203	0.3091270772
204	0.3081304758
205	0.3071528678
206	0.3063450273
207	0.3050003679
208	0.30399701
209	0.3027978215
210	0.3018249559
211	0.3008667195
212	0.3003234264
213	0.2994220397
214	0.2985329458
215	0.2979393651
216	0.2972307278
217	0.296167133
218	0.2953852017
219	0.2945087092
220	0.2937126294
221	0.2928778702
222	0.2917148582
223	0.2909628977
224	0.2896540296
225	0.2886123
226	0.2876378341
227	0.286673721
228	0.2857674593
229	0.2849558795
230	0.2840070121
231	0.2832594403
232	0.2823174945
233	0.2815567998
234	0.2802688617
235	0.2795846816
236	0.2789960023
237	0.2783204765
238	0.2774243766
239	0.2767522096
240	0.2760152558
241	0.2752011724
242	0.2742385565
243	0.2732519411
244	0.2725313236
245	0.2714715274
246	0.2707493911
247	0.2698734168
248	0.2687011131
249	0.267748717
250	0.2671551421
251	0.2664505824
252	0.2656065978
253	0.2647899567
254	0.2639161007
255	0.2634559131
256	0.262730824
257	0.2620348011
258	0.2614339189
259	0.2608120372
260	0.2600008301
261	0.2593385298
262	0.2585936413
263	0.2582172706
264	0.2578163819
265	0.2570050633
266	0.2563923207
267	0.2556946524
268	0.2548950025
269	0.2542643886
270	0.2533584797
271	0.2525846747
272	0.2519611287
273	0.251237944
274	0.2501702071
275	0.2491532012
276	0.2484252586
277	0.2478034593
278	0.2471240014
279	0.2464051849
280	0.245670334
281	0.2449340311
282	0.2441600976
283	0.2436265542
284	0.2427737228
285	0.2422490053
286	0.2413870758
287	0.2405898016
288	0.2398928341
289	0.2393424196
290	0.2387026357
291	0.2382523493
292	0.2373676091
293	0.2365961688
294	0.2357809621
295	0.2350198128
296	0.234567043
297	0.2338276602
298	0.2331527164
299	0.2325437864
300	0.23212741
301	0.2315308549
302	0.2306651515
303	0.230182128
304	0.2294696926
305	0.2289184393
306	0.2282560054
307	0.2275389839
308	0.2271553722
309	0.2266641966
310	0.2259918963
311	0.2251770794
312	0.2246627524
313	0.2242953725
314	0.223786235
315	0.2231165047
316	0.2225534585
317	0.2218279475
318	0.2213914705
319	0.2206179188
320	0.2198647035
321	0.2193375403
322	0.2187946718
323	0.2182288486
324	0.2176836367
325	0.2171562392
326	0.2165924191
327	0.2158870146
328	0.2151734039
329	0.214716595
330	0.214055543
331	0.2136580859
332	0.2130399282
333	0.2126571586
334	0.2122572832
335	0.2116484196
336	0.2112501892
337	0.2108092275
338	0.2102328945
339	0.2097471259
340	0.209225006
341	0.2086578276
342	0.2082119789
343	0.2075921202
344	0.2073701308
345	0.2066127325
346	0.2059672545
347	0.2055329179
348	0.2051164959
349	0.2044705341
350	0.2037983839
351	0.2032705888
352	0.2027350241
353	0.2022619139
354	0.201754367
355	0.2013393063
356	0.2005726003
357	0.2001025172
358	0.1996228198
359	0.1990292572
360	0.1986294583
361	0.1979761589
362	0.1975247449
