iter	Passed	Remaining
0	157	157703
1	165	82381
2	170	56778
3	175	43661
4	180	35894
5	184	30521
6	187	26574
7	190	23628
8	194	21452
9	198	19643
10	201	18140
11	205	16894
12	208	15835
13	212	14961
14	215	14151
15	218	13453
16	222	12861
17	226	12357
18	229	11861
19	233	11430
20	236	11026
21	240	10713
22	244	10388
23	247	10071
24	250	9780
25	255	9567
26	258	9321
27	261	9088
28	264	8870
29	268	8697
30	272	8520
31	275	8343
32	278	8171
33	281	8010
34	286	7889
35	289	7762
36	293	7626
37	296	7496
38	301	7419
39	304	7301
40	307	7188
41	310	7080
42	314	7003
43	318	6911
44	321	6816
45	324	6724
46	327	6637
47	331	6579
48	334	6499
49	337	6421
50	341	6346
51	345	6306
52	349	6238
53	352	6169
54	355	6103
55	359	6059
56	362	6004
57	366	5945
58	369	5886
59	372	5832
60	376	5799
61	379	5746
62	382	5694
63	386	5645
64	390	5617
65	393	5572
66	396	5525
67	399	5479
68	402	5436
69	407	5411
70	410	5369
71	413	5329
72	416	5290
73	421	5269
74	424	5231
75	427	5194
76	430	5160
77	433	5127
78	437	5102
79	440	5068
80	443	5036
81	446	5004
82	451	4987
83	454	4956
84	457	4928
85	460	4898
86	464	4872
87	467	4849
88	471	4827
89	475	4802
90	478	4776
91	482	4760
92	485	4736
93	488	4710
94	491	4685
95	496	4673
96	499	4651
97	502	4627
98	505	4603
99	509	4585
100	536	4778
101	546	4810
102	552	4809
103	559	4818
104	563	4807
105	567	4789
106	572	4773
107	575	4756
108	578	4732
109	582	4709
110	585	4687
111	590	4679
112	593	4656
113	596	4634
114	599	4614
115	604	4603
116	607	4582
117	610	4561
118	613	4541
119	616	4523
120	620	4507
121	623	4487
122	626	4468
123	629	4449
124	634	4443
125	637	4424
126	641	4406
127	644	4387
128	648	4380
129	651	4362
130	655	4346
131	658	4329
132	662	4319
133	666	4305
134	669	4289
135	672	4273
136	675	4258
137	680	4248
138	683	4233
139	686	4217
140	689	4201
141	694	4195
142	697	4180
143	700	4165
144	704	4151
145	708	4145
146	736	4274
147	749	4313
148	757	4324
149	762	4322
150	767	4313
151	772	4310
152	776	4298
153	780	4285
154	783	4273
155	788	4265
156	791	4249
157	794	4233
158	797	4220
159	802	4212
160	805	4198
161	808	4182
162	812	4171
163	815	4158
164	819	4147
165	822	4133
166	826	4120
167	829	4106
168	833	4100
169	837	4087
170	840	4074
171	843	4060
172	848	4053
173	851	4040
174	854	4028
175	858	4018
176	864	4021
177	869	4014
178	872	4003
179	877	3998
180	881	3989
181	885	3979
182	888	3968
183	894	3965
184	899	3960
185	902	3951
186	906	3941
187	910	3932
188	913	3921
189	918	3913
190	923	3911
191	927	3903
192	931	3893
193	934	3883
194	940	3882
195	943	3871
196	947	3862
197	951	3852
198	956	3851
199	960	3843
200	964	3833
201	969	3831
202	973	3824
203	978	3818
204	983	3814
205	987	3807
206	991	3796
207	994	3787
208	1001	3789
209	1005	3781
210	1008	3772
211	1015	3775
212	1019	3768
213	1023	3759
214	1027	3750
215	1033	3750
216	1038	3746
217	1044	3748
218	1049	3742
219	1053	3736
220	1059	3733
221	1064	3730
222	1069	3726
223	1076	3728
224	1080	3722
225	1084	3715
226	1091	3718
227	1097	3715
228	1101	3709
229	1107	3709
230	1112	3703
231	1117	3697
232	1121	3692
233	1128	3693
234	1132	3686
235	1140	3691
236	1145	3689
237	1150	3682
238	1157	3686
239	1161	3677
240	1164	3667
241	1171	3669
242	1175	3661
243	1178	3651
244	1183	3646
245	1187	3640
246	1191	3631
247	1194	3621
248	1199	3618
249	1203	3609
250	1206	3599
251	1209	3590
252	1214	3585
253	1217	3576
254	1220	3566
255	1223	3556
256	1228	3551
257	1232	3544
258	1235	3534
259	1238	3525
260	1242	3518
261	1246	3510
262	1249	3501
263	1252	3492
264	1255	3483
265	1260	3478
266	1263	3469
267	1267	3461
268	1270	3451
269	1275	3447
270	1278	3439
271	1281	3430
272	1284	3421
273	1289	3415
274	1292	3408
275	1296	3399
276	1299	3391
277	1302	3383
278	1306	3377
279	1310	3370
280	1313	3361
281	1318	3356
282	1322	3349
283	1325	3341
284	1329	3334
285	1335	3334
286	1340	3328
287	1343	3321
288	1347	3314
289	1351	3309
290	1355	3301
291	1358	3293
292	1361	3284
293	1366	3280
294	1369	3273
295	1372	3264
296	1376	3257
297	1382	3256
298	1386	3249
299	1389	3241
300	1392	3234
301	1397	3229
302	1400	3222
303	1404	3215
304	1408	3209
305	1413	3205
306	1416	3198
307	1420	3190
308	1426	3189
309	1430	3184
310	1433	3176
311	1437	3169
312	1442	3165
313	1446	3159
314	1449	3151
315	1452	3144
316	1458	3143
317	1462	3136
318	1465	3128
319	1470	3123
320	1474	3119
321	1478	3112
322	1481	3104
323	1486	3102
